time	V(n001)	V(n002)	V(n003)
3.206730694976374e-002	9.881017e-001	2.711498e-001	1.061175e+000
3.206761459938289e-002	9.879093e-001	3.678842e-001	1.100327e+000
3.206802383604605e-002	9.876533e-001	5.199792e-001	1.161897e+000
3.206854005787907e-002	9.873305e-001	7.252750e-001	1.245010e+000
3.207075087138386e-002	9.859484e-001	1.622544e+000	1.608275e+000
3.207252146281823e-002	9.848423e-001	2.341679e+000	1.899421e+000
3.207606264568697e-002	9.826308e-001	3.779948e+000	2.481714e+000
3.207694794140415e-002	9.820782e-001	4.124960e+000	2.621402e+000
3.207756660882499e-002	9.816921e-001	4.315224e+000	2.698454e+000
3.207800720014314e-002	9.814172e-001	4.380704e+000	2.724987e+000
3.207850911948655e-002	9.811041e-001	4.393892e+000	2.730336e+000
3.217651749672011e-002	9.207312e-001	4.393448e+000	2.730156e+000
3.227452587395368e-002	8.624743e-001	4.393119e+000	2.730022e+000
3.237253425118724e-002	8.063334e-001	4.392907e+000	2.729936e+000
3.247054262842081e-002	7.523087e-001	4.392810e+000	2.729896e+000
3.256855100565437e-002	7.003999e-001	4.392829e+000	2.729904e+000
3.266655938288793e-002	6.506073e-001	4.392964e+000	2.729958e+000
3.276456776012150e-002	6.029307e-001	4.393216e+000	2.730060e+000
3.344975731898115e-002	3.089933e-001	4.393216e+000	2.730059e+000
3.394688476838158e-002	1.460978e-001	4.393216e+000	2.730058e+000
3.431185961434133e-002	6.534109e-002	4.393216e+000	2.730058e+000
3.463753887100209e-002	2.268734e-002	4.393216e+000	2.730058e+000
3.496331933794915e-002	6.651793e-003	4.393216e+000	2.730058e+000
3.528636596755625e-002	1.960221e-002	4.393216e+000	2.730058e+000
3.576605239699968e-002	9.411474e-002	4.393216e+000	2.730058e+000
3.654274448718853e-002	3.383508e-001	4.393216e+000	2.730059e+000
3.777457280099712e-002	9.482759e-001	4.393216e+000	2.730062e+000
3.803514732738429e-002	1.096069e+000	4.393288e+000	2.730092e+000
3.829572185377147e-002	1.253529e+000	4.393335e+000	2.730112e+000
3.855629638015864e-002	1.420655e+000	4.393357e+000	2.730121e+000
3.881687090654581e-002	1.597446e+000	4.393354e+000	2.730121e+000
3.907744543293298e-002	1.783903e+000	4.393325e+000	2.730110e+000
3.933801995932016e-002	1.980027e+000	4.393271e+000	2.730089e+000
3.959859448570733e-002	2.185816e+000	4.393192e+000	2.730058e+000
3.984162519125428e-002	2.375770e+000	4.392403e+000	2.729739e+000
4.016566613198355e-002	2.630032e+000	2.503232e+000	1.964909e+000
4.021482252756494e-002	2.668589e+000	6.832795e-001	1.228082e+000
4.023567705503627e-002	2.684930e+000	3.205253e-002	9.644243e-001
4.024857322174744e-002	2.695030e+000	3.189505e-002	9.643608e-001
4.025871448647209e-002	2.702970e+000	3.126797e-002	9.641067e-001
4.026658549439265e-002	2.709131e+000	3.094398e-002	9.639757e-001
4.027337178389016e-002	2.714442e+000	3.028200e-002	9.637076e-001
4.027840925802419e-002	2.718383e+000	3.009463e-002	9.636320e-001
4.028189619315132e-002	2.721112e+000	2.934260e-002	9.633273e-001
4.028451936347784e-002	2.723164e+000	2.910903e-002	9.632329e-001
4.028842366807224e-002	2.726218e+000	2.855295e-002	9.630077e-001
4.029009866438907e-002	2.727528e+000	2.857082e-002	9.630150e-001
4.029163041246590e-002	2.728726e+000	2.843188e-002	9.629587e-001
4.029319352059065e-002	2.729948e+000	2.851432e-002	9.629921e-001
4.029495468174171e-002	2.731325e+000	2.842978e-002	9.629579e-001
4.029716463269933e-002	2.733054e+000	2.848085e-002	9.629786e-001
4.052143799374823e-002	2.908072e+000	2.845615e-002	9.629694e-001
4.074571135479713e-002	3.079035e+000	2.843839e-002	9.629629e-001
4.096998471584604e-002	3.245940e+000	2.842756e-002	9.629592e-001
4.119425807689493e-002	3.408790e+000	2.842367e-002	9.629584e-001
4.141853143794384e-002	3.567583e+000	2.842671e-002	9.629603e-001
4.164280479899274e-002	3.722320e+000	2.843668e-002	9.629650e-001
4.186707816004164e-002	3.873000e+000	2.845358e-002	9.629725e-001
4.237980776169179e-002	4.188766e+000	2.845702e-002	9.629753e-001
4.289277757467808e-002	4.458885e+000	2.845521e-002	9.629758e-001
4.341520596671170e-002	4.678375e+000	2.845168e-002	9.629753e-001
4.405283399459172e-002	4.877573e+000	2.845085e-002	9.629758e-001
4.439102559955803e-002	4.947382e+000	2.845194e-002	9.629766e-001
4.473337663800309e-002	4.981404e+000	2.845105e-002	9.629764e-001
4.520070521095199e-002	4.982792e+000	2.844913e-002	9.629756e-001
4.562672846968328e-002	4.934035e+000	2.844869e-002	9.629752e-001
4.631797421791675e-002	4.746766e+000	2.844927e-002	9.629746e-001
4.742262197393475e-002	4.274745e+000	2.845477e-002	9.629748e-001
4.811869898127753e-002	3.879901e+000	2.845571e-002	9.629734e-001
4.865627478504311e-002	3.517408e+000	2.845322e-002	9.629709e-001
4.916013290868614e-002	3.147723e+000	2.845118e-002	9.629684e-001
5.074984166530727e-002	1.928554e+000	2.844828e-002	9.629619e-001
5.161976135749406e-002	1.284162e+000	2.839248e-002	9.629292e-001
5.171535632346161e-002	1.217618e+000	2.853442e-002	9.629883e-001
5.190654625539670e-002	1.090791e+000	2.954021e-002	9.634003e-001
5.194494393192201e-002	1.065843e+000	3.130649e-002	9.641153e-001
5.202173928497264e-002	1.016763e+000	3.907275e-002	9.672592e-001
5.202344751227227e-002	1.015679e+000	3.942412e-002	9.674015e-001
5.202686396687155e-002	1.013521e+000	4.051579e-002	9.678434e-001
5.203369687607010e-002	1.009212e+000	4.338065e-002	9.690033e-001
5.204736269446719e-002	1.000607e+000	5.080634e-002	9.720095e-001
5.204965154865127e-002	9.991687e-001	5.256218e-002	9.727204e-001
5.205422925701943e-002	9.962947e-001	5.713054e-002	9.745698e-001
5.205537368411148e-002	9.955766e-001	5.853057e-002	9.751366e-001
5.205766253829556e-002	9.941415e-001	6.222718e-002	9.766331e-001
5.206100957768386e-002	9.920437e-001	6.899622e-002	9.793735e-001
5.206155275259360e-002	9.917034e-001	7.045986e-002	9.799660e-001
5.206263910241309e-002	9.910231e-001	7.425439e-002	9.815021e-001
5.206347285415532e-002	9.905010e-001	7.795967e-002	9.830020e-001
5.206419713452667e-002	9.900476e-001	8.216571e-002	9.847046e-001
5.206461880491581e-002	9.897836e-001	8.542326e-002	9.860231e-001
5.206508146972709e-002	9.894941e-001	9.021505e-002	9.879625e-001
5.206546193865233e-002	9.892560e-001	9.556787e-002	9.901289e-001
5.206577193548306e-002	9.890620e-001	1.015779e-001	9.925611e-001
5.206599767107441e-002	9.889207e-001	1.076736e-001	9.950277e-001
5.206620820110611e-002	9.887890e-001	1.161266e-001	9.984478e-001
5.206648766303731e-002	9.886142e-001	1.334697e-001	1.005464e+000
5.206674189712700e-002	9.884552e-001	1.591315e-001	1.015847e+000
5.206702696116660e-002	9.882768e-001	2.047865e-001	1.034319e+000
5.206730111245991e-002	9.881054e-001	2.696895e-001	1.060584e+000
5.206762350651439e-002	9.879037e-001	3.714050e-001	1.101753e+000
5.206802063831350e-002	9.876553e-001	5.190002e-001	1.161501e+000
5.206854859542963e-002	9.873252e-001	7.291169e-001	1.246565e+000
5.207075611088805e-002	9.859452e-001	1.625045e+000	1.609287e+000
5.207255762973397e-002	9.848197e-001	2.356742e+000	1.905520e+000
5.207616066742581e-002	9.825697e-001	3.820133e+000	2.497983e+000
5.207706142684877e-002	9.820074e-001	4.166614e+000	2.638268e+000
5.207763920638248e-002	9.816468e-001	4.328676e+000	2.703905e+000
5.207813095787280e-002	9.813401e-001	4.386171e+000	2.727204e+000
5.207862736908726e-002	9.810303e-001	4.394015e+000	2.730386e+000
5.220477780420819e-002	9.035637e-001	4.393492e+000	2.730174e+000
5.233092823932910e-002	8.297335e-001	4.393105e+000	2.730017e+000
5.245707867445003e-002	7.595399e-001	4.392854e+000	2.729915e+000
5.258322910957095e-002	6.929827e-001	4.392740e+000	2.729868e+000
5.270937954469188e-002	6.300620e-001	4.392762e+000	2.729877e+000
5.283552997981279e-002	5.707779e-001	4.392921e+000	2.729941e+000
5.296168041493372e-002	5.151302e-001	4.393215e+000	2.730060e+000
5.384434246840461e-002	1.823979e-001	4.393215e+000	2.730058e+000
5.423565799091301e-002	7.890666e-002	4.393215e+000	2.730058e+000
5.454276194354482e-002	3.289362e-002	4.393215e+000	2.730058e+000
5.492383435260381e-002	8.880422e-003	4.393215e+000	2.730058e+000
5.527168607366306e-002	1.913386e-002	4.393215e+000	2.730058e+000
5.574218427660875e-002	8.893578e-002	4.393215e+000	2.730058e+000
5.650429852265856e-002	3.230133e-001	4.393215e+000	2.730059e+000
5.771468516083769e-002	9.138996e-001	4.393215e+000	2.730062e+000
5.796998860358613e-002	1.055584e+000	4.393323e+000	2.730106e+000
5.822529204633457e-002	1.207075e+000	4.393391e+000	2.730134e+000
5.848059548908301e-002	1.368372e+000	4.393418e+000	2.730146e+000
5.873589893183146e-002	1.539475e+000	4.393406e+000	2.730142e+000
5.899120237457990e-002	1.720384e+000	4.393354e+000	2.730121e+000
5.924650581732834e-002	1.911098e+000	4.393262e+000	2.730085e+000
5.950180926007678e-002	2.111619e+000	4.393129e+000	2.730032e+000
5.960347232199132e-002	2.190686e+000	4.404847e+000	2.734776e+000
5.970513538390587e-002	2.269869e+000	4.411667e+000	2.737538e+000
5.980679844582040e-002	2.349167e+000	4.413590e+000	2.738317e+000
5.990846150773495e-002	2.428581e+000	4.410616e+000	2.737113e+000
6.001012456964949e-002	2.508111e+000	4.402744e+000	2.733926e+000
6.011178763156403e-002	2.587757e+000	4.389976e+000	2.728757e+000
6.021345069347857e-002	2.667518e+000	4.372310e+000	2.721606e+000
6.021756089915119e-002	2.670739e+000	4.373798e+000	2.722208e+000
6.022167110482382e-002	2.673959e+000	4.371864e+000	2.721425e+000
6.022578131049645e-002	2.677179e+000	4.366510e+000	2.719257e+000
6.022989151616908e-002	2.680399e+000	4.357735e+000	2.715705e+000
6.023400172184171e-002	2.683619e+000	4.345539e+000	2.710768e+000
6.023811192751433e-002	2.686838e+000	4.329922e+000	2.704445e+000
6.024222213318696e-002	2.690057e+000	4.310884e+000	2.696738e+000
6.024252073286250e-002	2.690291e+000	4.310499e+000	2.696582e+000
6.024281933253805e-002	2.690525e+000	4.306900e+000	2.695125e+000
6.024311793221359e-002	2.690759e+000	4.300089e+000	2.692369e+000
6.024341653188913e-002	2.690993e+000	4.290064e+000	2.688312e+000
6.024371513156467e-002	2.691226e+000	4.276826e+000	2.682956e+000
6.024401373124022e-002	2.691460e+000	4.260375e+000	2.676299e+000
6.024431233091576e-002	2.691694e+000	4.240711e+000	2.668343e+000
6.024458516752737e-002	2.691908e+000	4.203131e+000	2.653138e+000
6.024485474302509e-002	2.692119e+000	4.146860e+000	2.630369e+000
6.024515336440130e-002	2.692353e+000	4.060680e+000	2.595490e+000
6.024550616693745e-002	2.692629e+000	3.935498e+000	2.544818e+000
6.024650487591796e-002	2.693411e+000	3.538345e+000	2.384032e+000
6.024797729187378e-002	2.694564e+000	2.940465e+000	2.141977e+000
6.024939034651559e-002	2.695670e+000	2.366545e+000	1.909622e+000
6.025199133289552e-002	2.697707e+000	1.310142e+000	1.481930e+000
6.025439717026689e-002	2.699590e+000	3.330013e-001	1.086328e+000
6.025488830806220e-002	2.699975e+000	1.420468e-001	1.009008e+000
6.025513125932298e-002	2.700165e+000	6.599922e-002	9.781976e-001
6.025523422344452e-002	2.700246e+000	4.728658e-002	9.706094e-001
6.025534654949116e-002	2.700334e+000	3.778100e-002	9.667524e-001
6.025543582120651e-002	2.700404e+000	3.373140e-002	9.651091e-001
6.025554107670723e-002	2.700486e+000	3.126834e-002	9.641096e-001
6.025565734675437e-002	2.700577e+000	2.986043e-002	9.635383e-001
6.025580570783906e-002	2.700693e+000	2.904804e-002	9.632087e-001
6.025599750346847e-002	2.700843e+000	2.864710e-002	9.630460e-001
6.025623530423571e-002	2.701030e+000	2.850233e-002	9.629872e-001
6.025822371236290e-002	2.702586e+000	2.845626e-002	9.629685e-001
6.058142354456916e-002	2.955430e+000	2.845626e-002	9.629696e-001
6.090462337677541e-002	3.198348e+000	2.845627e-002	9.629706e-001
6.122782320898166e-002	3.431338e+000	2.845628e-002	9.629717e-001
6.155102304118792e-002	3.654402e+000	2.845629e-002	9.629727e-001
6.187422287339417e-002	3.867540e+000	2.845630e-002	9.629736e-001
6.219742270560042e-002	4.070751e+000	2.845632e-002	9.629745e-001
6.252062253780667e-002	4.264035e+000	2.845634e-002	9.629754e-001
6.311440860071012e-002	4.556793e+000	2.845636e-002	9.629766e-001
6.368456219649721e-002	4.775707e+000	2.845637e-002	9.629776e-001
6.411782356747099e-002	4.896363e+000	2.845638e-002	9.629782e-001
6.443978733425894e-002	4.954490e+000	2.845639e-002	9.629784e-001
6.479238087354759e-002	4.985351e+000	2.845639e-002	9.629785e-001
6.522273934010787e-002	4.982253e+000	2.845639e-002	9.629785e-001
6.566257640902777e-002	4.927274e+000	2.845638e-002	9.629783e-001
6.637588562371144e-002	4.725900e+000	2.845637e-002	9.629774e-001
6.751371040608140e-002	4.225728e+000	2.845634e-002	9.629752e-001
6.818255376786161e-002	3.838466e+000	2.845631e-002	9.629735e-001
6.874169308803077e-002	3.456350e+000	2.845629e-002	9.629718e-001
6.972378069314131e-002	2.715602e+000	2.845624e-002	9.629685e-001
7.074542371154625e-002	1.931470e+000	2.845132e-002	9.629631e-001
7.088616546422349e-002	1.820027e+000	2.840196e-002	9.629423e-001
7.102690721690075e-002	1.711235e+000	2.837171e-002	9.629294e-001
7.116764896957799e-002	1.605093e+000	2.836059e-002	9.629244e-001
7.130839072225524e-002	1.501600e+000	2.836859e-002	9.629272e-001
7.144913247493248e-002	1.400757e+000	2.839571e-002	9.629378e-001
7.158987422760973e-002	1.302565e+000	2.844195e-002	9.629563e-001
7.173061598028697e-002	1.207022e+000	2.850731e-002	9.629827e-001
7.186237692341056e-002	1.119330e+000	2.873632e-002	9.630750e-001
7.188633345852394e-002	1.103700e+000	2.896260e-002	9.631665e-001
7.191827550534177e-002	1.083015e+000	2.975728e-002	9.634881e-001
7.198215959897746e-002	1.041909e+000	3.259593e-002	9.646372e-001
7.198797740331726e-002	1.038189e+000	3.308493e-002	9.648352e-001
7.199961301199687e-002	1.030793e+000	3.479535e-002	9.655276e-001
7.202288422935609e-002	1.016052e+000	4.044745e-002	9.678158e-001
7.204375063881427e-002	1.002880e+000	4.843464e-002	9.710494e-001
7.204694813825771e-002	1.000868e+000	5.048743e-002	9.718804e-001
7.205334313714461e-002	9.968509e-001	5.619351e-002	9.741905e-001
7.205494188686633e-002	9.958476e-001	5.806134e-002	9.749466e-001
